00601.jpg;72;438;156;510;1;1.0
00602.jpg;443;543;473;573;1;1.0
00602.jpg;1265;552;1300;587;1;1.0
00603.jpg;356;438;416;505;1;0.79
00604.jpg;369;488;435;545;2;1.0
00605.jpg;845;499;881;535;1;1.0
00605.jpg;165;511;207;547;1;0.97
00607.jpg;890;473;947;523;2;1.0
00609.jpg;808;505;841;538;1;1.0
00609.jpg;308;511;344;544;1;1.0
00611.jpg;839;517;875;550;1;1.0
00611.jpg;839;489;870;518;1;1.0
00612.jpg;134;529;209;607;6;1.0
00613.jpg;1129;560;1168;596;1;1.0
00613.jpg;475;544;514;580;1;1.0
00615.jpg;384;570;414;600;1;1.0
00615.jpg;376;534;418;573;2;1.0
00615.jpg;879;534;924;570;2;1.0
00615.jpg;888;569;918;599;1;1.0
00616.jpg;869;533;911;572;1;1.0
00619.jpg;0;350;30;385;5;0.99
00619.jpg;844;418;878;452;5;1.0
00620.jpg;863;425;892;454;1;1.0
00621.jpg;785;447;806;467;1;1.0
00622.jpg;815;427;856;464;2;1.0
00623.jpg;974;372;1033;435;1;1.0
00624.jpg;818;460;847;489;1;1.0
00624.jpg;379;497;444;560;1;1.0
00625.jpg;1035;376;1114;442;1;1.0
00626.jpg;855;402;894;441;1;1.0
00626.jpg;855;442;894;478;1;1.0
00626.jpg;259;91;280;112;2;0.96
00630.jpg;1220;316;1283;382;1;1.0
00631.jpg;798;479;831;509;1;0.98
00632.jpg;100;377;148;425;1;1.0
00633.jpg;637;456;665;485;2;1.0
00633.jpg;1268;194;1320;253;1;1.0
00634.jpg;524;371;569;413;1;1.0
00635.jpg;826;424;862;460;1;1.0
00637.jpg;867;403;915;445;2;1.0
00638.jpg;914;376;951;413;1;0.99
00639.jpg;291;508;333;551;6;1.0
00640.jpg;1108;356;1172;421;1;1.0
00641.jpg;18;416;75;473;1;1.0
00643.jpg;12;458;30;476;1;1.0
00644.jpg;80;517;126;568;6;1.0
00645.jpg;56;44;113;93;6;1.0
00645.jpg;102;82;159;136;6;1.0
00645.jpg;1037;308;1094;371;1;1.0
00646.jpg;563;435;586;456;5;1.0
00648.jpg;352;386;407;434;2;1.0
00649.jpg;597;632;636;675;2;1.0
00651.jpg;799;403;850;454;1;1.0
00651.jpg;736;427;754;446;1;1.0
00651.jpg;787;341;859;407;2;1.0
00653.jpg;782;412;812;448;1;0.99
00655.jpg;45;370;72;400;1;1.0
00656.jpg;572;462;599;491;1;0.77
00657.jpg;989;396;1026;437;1;1.0
00657.jpg;700;528;723;554;2;0.89
00658.jpg;871;339;937;410;2;0.89
00659.jpg;995;428;1033;469;1;1.0
00660.jpg;942;422;978;458;1;1.0
00661.jpg;1138;400;1168;430;1;1.0
00662.jpg;1260;340;1272;355;1;0.93
00663.jpg;300;567;336;609;1;0.79
00663.jpg;471;559;500;588;1;1.0
00663.jpg;858;369;882;393;1;1.0
00663.jpg;835;310;888;358;5;1.0
00664.jpg;846;434;882;470;1;1.0
00665.jpg;693;415;741;457;2;1.0
00667.jpg;739;447;762;469;1;1.0
00668.jpg;1084;252;1171;340;1;1.0
00669.jpg;897;394;948;448;1;1.0
00670.jpg;997;303;1064;372;1;1.0
00671.jpg;841;351;889;393;2;1.0
00671.jpg;846;392;882;428;1;1.0
00672.jpg;892;276;940;324;2;1.0
00672.jpg;894;327;948;375;5;1.0
00672.jpg;120;264;193;340;5;1.0
00673.jpg;309;427;335;453;1;1.0
00673.jpg;410;408;473;462;2;0.98
00674.jpg;715;369;751;405;1;1.0
00675.jpg;673;400;705;432;2;1.0
00675.jpg;947;401;976;432;2;1.0
00675.jpg;1007;386;1043;419;5;0.94
00675.jpg;640;503;676;536;6;1.0
00677.jpg;18;419;49;450;1;1.0
00678.jpg;701;406;739;440;5;1.0
00679.jpg;335;514;353;532;1;1.0
00679.jpg;711;399;765;459;1;1.0
00679.jpg;707;346;765;404;3;1.0
00680.jpg;901;394;954;447;1;1.0
00681.jpg;816;427;852;463;1;1.0
00682.jpg;270;418;327;472;1;1.0
00682.jpg;260;487;290;511;6;1.0
00683.jpg;889;450;913;474;1;1.0
00683.jpg;386;453;410;477;1;1.0
00685.jpg;617;510;656;550;6;1.0
00686.jpg;374;434;413;473;1;1.0
00688.jpg;404;431;431;458;3;1.0
00688.jpg;936;105;963;132;1;0.96
